Symbol  ,Date  ,Expiry  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
POWERGRID,30-Jan-2026,24-Feb-2026,259.70,260.50,252.10,254.55,253.50,254.55,7750.00,37582.70,108110000.00,6148400.00,256.50
POWERGRID,29-Jan-2026,24-Feb-2026,258.80,260.95,257.00,258.95,259.80,258.95,8683.00,42704.15,101961600.00,4989400.00,260.50
POWERGRID,28-Jan-2026,24-Feb-2026,254.50,259.00,253.20,257.90,257.50,257.90,6483.00,31620.97,96972200.00,2388300.00,259.80
POWERGRID,27-Jan-2026,24-Feb-2026,252.95,254.75,250.00,252.65,253.30,252.65,21531.00,103139.84,94583900.00,25423900.00,254.35
POWERGRID,23-Jan-2026,24-Feb-2026,257.70,257.70,251.05,252.10,252.40,252.10,18094.00,86947.08,69160000.00,28268200.00,254.15
POWERGRID,22-Jan-2026,24-Feb-2026,254.40,257.85,253.60,257.20,257.45,257.20,10056.00,48767.85,40891800.00,14029600.00,259.25
POWERGRID,21-Jan-2026,24-Feb-2026,253.00,257.20,251.65,253.60,253.95,253.60,9588.00,46339.67,26862200.00,11468400.00,255.80
POWERGRID,20-Jan-2026,24-Feb-2026,255.55,256.00,251.85,252.45,252.75,252.45,1454.00,7014.41,15393800.00,1666300.00,254.05
POWERGRID,19-Jan-2026,24-Feb-2026,255.90,257.50,255.40,256.10,255.50,256.10,686.00,3344.58,13727500.00,514900.00,257.65
POWERGRID,16-Jan-2026,24-Feb-2026,257.55,260.45,255.20,256.25,256.10,256.25,800.00,3916.44,13212600.00,657400.00,257.30
POWERGRID,14-Jan-2026,24-Feb-2026,256.45,259.00,256.40,257.45,257.55,257.45,633.00,3099.45,12555200.00,452200.00,258.35
POWERGRID,13-Jan-2026,24-Feb-2026,256.70,258.90,255.60,257.95,258.00,257.95,318.00,1553.65,12103000.00,131100.00,258.80
POWERGRID,12-Jan-2026,24-Feb-2026,257.35,258.40,253.80,257.90,257.65,257.90,530.00,2577.47,11971900.00,193800.00,258.55
POWERGRID,09-Jan-2026,24-Feb-2026,261.65,262.60,256.10,257.45,258.00,257.45,806.00,3968.96,11778100.00,583300.00,258.00
POWERGRID,08-Jan-2026,24-Feb-2026,264.05,264.40,257.75,258.85,258.70,258.85,1632.00,8071.44,11194800.00,1795500.00,259.30
POWERGRID,07-Jan-2026,24-Feb-2026,268.00,268.00,263.70,264.10,264.00,264.10,781.00,3926.52,9399300.00,917700.00,264.10
POWERGRID,06-Jan-2026,24-Feb-2026,271.00,272.55,266.80,268.25,267.95,268.25,475.00,2428.85,8481600.00,296400.00,268.55
POWERGRID,05-Jan-2026,24-Feb-2026,272.95,272.95,269.00,271.15,270.85,271.15,505.00,2599.36,8185200.00,77900.00,271.65
POWERGRID,02-Jan-2026,24-Feb-2026,267.30,272.20,266.75,271.35,271.75,271.35,825.00,4241.94,8107300.00,93100.00,270.95
POWERGRID,01-Jan-2026,24-Feb-2026,264.60,267.45,264.20,267.20,267.45,267.20,202.00,1021.25,8014200.00,-32300.00,266.80
