Symbol  ,Date  ,Expiry  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
POWERGRID,30-Jan-2026,30-Mar-2026,260.05,262.00,253.20,256.05,255.60,256.05,413.00,2015.89,2635300.00,264100.00,256.50
POWERGRID,29-Jan-2026,30-Mar-2026,259.50,262.35,258.85,260.70,261.55,260.70,418.00,2068.66,2371200.00,315400.00,260.50
POWERGRID,28-Jan-2026,30-Mar-2026,256.05,260.50,255.45,259.50,259.35,259.50,294.00,1441.38,2055800.00,89300.00,259.80
POWERGRID,27-Jan-2026,30-Mar-2026,254.60,256.40,251.45,254.50,255.05,254.50,328.00,1580.56,1966500.00,404700.00,254.35
POWERGRID,23-Jan-2026,30-Mar-2026,257.00,257.95,252.85,253.85,254.10,253.85,245.00,1186.48,1561800.00,248900.00,254.15
POWERGRID,22-Jan-2026,30-Mar-2026,256.85,259.25,255.60,258.55,259.25,258.55,97.00,473.92,1312900.00,34200.00,259.25
POWERGRID,21-Jan-2026,30-Mar-2026,254.40,258.00,254.00,255.15,255.00,255.15,125.00,607.70,1278700.00,57000.00,255.80
POWERGRID,20-Jan-2026,30-Mar-2026,256.50,256.85,253.65,253.85,254.35,253.85,114.00,553.53,1221700.00,112100.00,254.05
POWERGRID,19-Jan-2026,30-Mar-2026,257.85,259.05,257.50,257.50,257.50,257.50,37.00,181.48,1109600.00,45600.00,257.65
POWERGRID,16-Jan-2026,30-Mar-2026,260.00,261.65,256.55,257.55,257.75,257.55,64.00,315.35,1064000.00,19000.00,257.30
POWERGRID,14-Jan-2026,30-Mar-2026,259.05,260.50,258.20,259.15,259.20,259.15,68.00,335.02,1045000.00,34200.00,258.35
POWERGRID,13-Jan-2026,30-Mar-2026,259.75,260.55,257.00,259.05,259.10,259.05,53.00,260.12,1010800.00,57000.00,258.80
POWERGRID,12-Jan-2026,30-Mar-2026,259.20,259.50,255.50,258.85,258.85,258.85,137.00,669.17,953800.00,158650.00,258.55
POWERGRID,09-Jan-2026,30-Mar-2026,263.40,264.25,257.75,259.05,259.50,259.05,182.00,900.36,796100.00,233700.00,258.00
POWERGRID,08-Jan-2026,30-Mar-2026,265.90,265.90,259.20,260.65,260.05,260.65,227.00,1131.36,562400.00,197600.00,259.30
POWERGRID,07-Jan-2026,30-Mar-2026,269.00,269.20,265.55,265.75,265.90,265.75,67.00,339.66,364800.00,95000.00,264.10
POWERGRID,06-Jan-2026,30-Mar-2026,272.75,274.00,269.00,270.20,270.35,270.20,43.00,221.32,269800.00,49400.00,268.55
POWERGRID,05-Jan-2026,30-Mar-2026,273.05,273.60,271.00,273.00,272.75,273.00,35.00,181.43,220400.00,36100.00,271.65
POWERGRID,02-Jan-2026,30-Mar-2026,269.90,274.00,268.60,273.05,273.10,273.05,112.00,577.97,184300.00,64600.00,270.95
POWERGRID,01-Jan-2026,30-Mar-2026,266.30,269.35,266.30,268.95,269.35,268.95,62.00,315.67,119700.00,87400.00,266.80
